lineNum1,sentence1,lineNum2,sentence2,lineNum3,sentence3,lineNum4,sentence4,lineNum5,sentence5,lineNum6,sentence6,lineNum7,sentence7,lineNum8,sentence8,lineNum9,sentence9,lineNum10,sentence10
195,Ajmal butcher is : THE Pakistani INFORMATION Minister,96,federal Minister for INFORMATION and broadcasting &#44; Sherry Rahman &#44; were sent to THE bbc URDU Service In a Message S. M. S. Ajmal confirmed THE Citizenship Of THE Butcher &#44; Just SO Said that More ARE UNDER Investigation .,97,Prior to this country Rahman &#44; Advisor of Prime Minister refused to his Pakistani citizenship .,98,He said that the record of citizens to the organization he NADRA Ajmal had no record of .,99,This latest announcement &#44; could not know that the Pakistan Government has now turned its stand on what basis while the Ajmal butcher has confirmed the citizenship .,100,However &#44; Foreign Ministry spokesman Ajmal butcher of citizenship &#44; according to the Interior Ministry has confirmed .,101,Prior to this &#44; the BBC Urdu Service and a few other newspapers and TV channels &#44; Ajmal belonged to the butcher from Farid town Okara district of Punjab Province said .,102,However &#44; from the government had been refused .,103,It is not clear now that this is concerned with this Farid Kot of Ajmal or any other area .,171,Council: &#39;comitte has been chosen&#39;
171172,On tuesday in Isalamabad after a seminar on environmental changes discussing with media people he said that i this period a group parliment party will be reqired in which this comittee will be chosen.,173,He said until now Group movement has been chosen and has been placed in the assembly whereas the other political parties will also be placed before parliment.,174,He also told for the end of satarwin party Pakistan public party has sent a notice to all political parties and committee will also go through this notice.,175,In one of his answers to the questions he has said that The issue between leader and minister is goin to be sought out in parliament.,176,Prime minister said parliament has all rights for making decisions.,177,In one of his answers he also said that leader retired General Parwez Musharraf has been asked to quit the position of army prime minister and Pakistani chair person Benazzir Bhutto have also their roles very important who gave emphasis on universal brotherhood and also emphasized on leader parwez Musharraf to remove his uniform,178,He also said that American leader Jobatin is in favor of pakistan and south and for his services leader of pakistan has titled him with honor.,179,After Mumubai attack every kind of relationship between India and Pakistan will be broken regarding this answering a question Yussof Raza lihalini told Indian government are under pressure hence they give this type of warnings,313,On the relief mission of the Edhi Gaza,314,Need for entering the Gaza after passing through several stages to get permission from New York for now &#44; he could succeed in reaching Egypt .
314315,Speaking with the BBC Urdu Service from Cairo &#44; he said that he still could not reach Gaza because Egypt and Israel has many are the obstacles standing .,316,He said that I came here have eight days and not yet allowed him to leave Gaza .,317,&#39; in this time in Cairo and I hope that will get the permission to visit Gaza yesterday .,318,Giving details &#44; he said : &#39; I already to Gaza after only seven days of his visa was and insisted on me in the Pakistani officials asked for help and cultivate a month after بڑھوا but it will go on the condition that only once in Gaza &#44; single اینٹری .,319,He said that his son and daughters are with them and they want to work in Gaza .,320,&#39; I get some money in .,321,Egypt &#39;s Red Cross to a check of million dollars and ten thousand dollars cash so that they are given also sending relief goods into Gaza .,379,Republican has also selected black man as their leader.,380,In the sixth time of elections in The Republican party&#44;Michael Steal has won by taking 151 votes out of 168 votes.,381,In the elections for the post of Chairman in the party &#44;Katen Dawsen &#44;the candidate against Steal&#44;has got 77 votes and the former chairman Duncan has quit at the second stage of competition.
381382,The reporters said that among 5 these candidates&#44;who were standing for the Chairman of the Republican Party leadership&#44; in their Michael steal is accepted the moderate leader.,383,After winning Michael steal said in his address &#39;we are going to say this to our friends and rivals that come with us but the people who want to put the infraction they should be ready to go away.Michael Steal belongs to Mary Land where he has been appointed as a Deputy Governor.,384,he has got popularity in 2004 &#44;when he stood up in the election for a senate seat.,385,But after losing in the Senate elections &#44;He was given the Chairmanship of party&#39;s political conservative committee.,386,Now after elected as a Chairman of the Republican Party &#44;the country-Wide Campaign of Republican Party will be done under his head.,387,He took part in the election on this promise that the will give new life to the party and would use new technique to retain party&#39;s moderate voters.,492,provincial elections in Iraq,493,Year of 2005 after this war - stricken country in the first important elections .,494,For the 440 seats in the provincial elections &#44; 14 &#44; have landed in امیدوارمیدان more than 400 .,495,During the elections to maintain peace and order situation for the eight hundred thousand police and Soldiers were stationed in Iraq .
495496,In view of this danger &#44; that no explosion or any scare in such important day attacks not be all the borders of Iraq &#44; one day before the cell . on Friday .,497,Moreover &#44; closed the airport have been restored and has been imposed a ban on public transport .,498,According TO INFORMATION &#44; بغدادكی Because of Transport Ban ON Traffic NOT seem ON The roads And Iraqi CHILDREN Playing Football ON The roads ARE Coming .,499,security situation during the recent Iraqi elections with one hand &#44; estimate that the year 2011 of the US forces in Iraq after returning from local agencies سیكیوریٹی rein in the country سنھبال would find it or not &#44; other political analyst at a forthcoming autobiography are taking the experience &#44; جاسكےگا guess that Iraqi people from democratic way to bring change in the country are willing to what extent .,500,The United Nations help سےعراق provincial elections are being held in and around eight hundred international observers are taking stock of the electoral process .,567,Tony Blair Islamic organisation Hamas stressed the need to be included in the talks,568,Mehr News Agency quoting the British newspaper the times that the كےسابق Britain Prime Minister Tony Blair in the Middle East peace process to include Hamas has stressed the need .,569,Newspaper said that it is important &#44; according to Tony Blair has a way should be found that &#44; through which Hamas should be brought to the Middle East peace process in بلئر on the Bush انظامیہ only talking to Mahmoud Abbas and Hamas to ignore &#44; also severely criticized the western countries are clear that Hamas &#44; the public understand the power Nizami and now it are to be included in talks before it while he was to be E. interpretation to terrorist organization Hamas a terrorist organization which is trying to defend their country from his home of the others is struggle to hold free and the house of which country like Israel occupied the government has kept freezing control 60 years .,594,Israel continued attacks on the 10th day in Gaza,595,Israeli missile attack of Israel &#39;s army released the Palestinian Child injured in Gaza Strip in the entire area of Hamas لشكریوں against the لڑرہی &#44; while Israeli air force in the 10th روزعلاقے continue attacks on suspected hideouts of militants elements .
595596,Israeli defense minister ایہود once departments said on Monday that military action at this time will continue unless the people of Southern Israel Hamas not be safe from attacks of rockets .,597,However &#44; Israel &#39;s attacks by Hamas in spite of firing the rockets &#44; he is being carried by four persons including three civilians were killed in Israel .,598,Hamas leader Mahmoud noontime on Monday of his colleagues &#44; has urged that the Israeli forces crushed and make attacking Israeli citizens .,599,But a Hamas official said that his organization is the latest violence Monday to consider the situation &#44; Egypt has intention to send a delegation .,600,medical sources in Gaza a Palestinian woman injured in Gaza has said that during the last 10 days &#44; about 530 people have been killed &#44; and he who were killed on Monday in 11 civilians were also are included in which at least five children .,601,Israel has ground attack in one of their military deaths and 30 more reportedly injured .,602,Israel has رسانی of military action to the cause of foreign journalists from entering the Gaza is allowed .,603,Elected Vice President of America Joseph Biden reaches Pakistan,604,Foreign Minister received the elected Vice President of America,605,America&#39;s Vice President Joseph Biden has reached Islamabad on his visit to Pakistan on Friday with his delegation.
605606,Foreign Minister Shah Mehmood Qureshi and high ups of American Embassy received them.,607,American Senator Lindsy Graham is also accompanying Biden.,608,Press Officer of American Embassy Lew Fenter told Voice of America&#44; during his tour newly elected President will discuss several regional affairs with Pakistani Leadership&#44; however he refused to disclose further details.,609,According to Foreign Office Joseph Biden will also meet Army Chief General Ashfaq Pervez Kiani along with high ups of government.,610,It is hoped that in these meetings beside important bilateral and International issues war against terrorism will also be discussed.,611,Joseph Biden has been awarded the Hilal e Pakistan,612,After reaching Islamabad Joseph Biden met President Asif Ali Zardari.,613,In meeting President awarded him the Hilal e Pakistan medal for playing his role in the establishment of closer ties between America and Pakistan.,614,It should be noted that Joseph Biden as the Chairman of Committee for foreign relations of American Senate with collaboration of Senator Richard Lugar introduced a bill which proposed a 3 times increase making it 5.7 billion dollars civilian aid for next five years to Pakistan.,634,The death of another Indian software engineer in the United States
634635,In the United States of Andhra Pradesh belonging to the a and software انجبیئر shot and killed by unknown attackers .,636,The 26 - year - old living in سكندرآباد اكشے وشال unknown attacked in two days ago آركینسا state to آورنے ماردی fire . وشال during medical aid &#44; has died in hospital .,637,He ستیم was an employee of computers in the United States &#44; and فالكن jet was in ایئرویز workers .,638,Last year in Andhra Pradesh in the United States &#44; seven student belonging to the hands of non - social elements have been killed .,639,the acquisition of higher education and employment in the United States for the deaths the students of the thousands of families in the province has created concern in which children are living in the United States .,640,It should be clarified that the higher education and better future for the priority is given to the United States in Andhra Pradesh .,641,According to Chennai and figures of the US consulate in South India every year for us visas &#44; with one million دوخواستیں received &#44; in which all means more than 40 percent are from Andhra Pradesh .,642,Meanwhile &#44; provincial government efforts to bring the body of murdered Hyderabad &#44; the start .,675,Afghanistan: Vote registration under trouble,676,Afghanistan Election commission has told due to security reasons in Southern parts of Kewl area voter registrations are being delayed
676677,In southern parts of Afghanistan for electing leader voter registration at that week was started,678,But commision has said that until the security system does not get better&#44; in some of the areas of halmand voter themselves would not register,679,In southern parts of that areas last area there were increase in problems where Taliban revolts have attacked Afghanistan military and bainul aqwani,680,In between afghan army and other forces have said between Wednesday and thursday night in taul arze due to fight 25 military personnel were dead,681,Narito has said his military at the border of Pakistan due to air and land attacks 22 military personnel were dead,682,before this israte dafa said that afghan military has killed eight revolts and two were wounded,683,there was no reason given afghan officials declared it as to reform.,697,revolts at south favored of ban of education of girls,698,revolts has said the warning received by Taliban on education of girls has been favored by tell this&#44; that this is good for law and Islam,699,On Sunday morning border minister Hussain babar told government will not allow this type of tries to be successful
699700,He said sick minded people are trying that our people don&#39;t receive education,701,In his words: These people privately try to blow ip schools and try to warn girls and boys,702,discussing of fear and despair he told&#44; government is well known by this and want to show that the paktoons land cant stop education,703,One day before Maulana Fazaullah Taliban revolts from 15th January in south put a ban on girls education in institutions and the institutions which go against the warning will be destroyed,704,In south the revolts are opposing from one and half year in this period they have devastated 150 institutions,705,Due to this destruction of institutions thousands of girls and boys lost their education,880,So after muslims&#44; all believers who are living on this earth should be wiped out according to the command of Allah?,881,Najeeb-ur-Rehman Psycho&#44; *Lahore* [P@KI$T@N],882,No&#44; not to be wiped out but the command is to convey to them the message of Islam.,883,But Jihad should be waged against those who conspire against the religion.
883884,They will be fought against until they abandon their nefarious plans but this doesn’t mean that a suicide bomber&#44; wearing a jacket&#44; should blast himself in a gathering.,930,At one side the United Nations&#44; which apparently talks about human rights and peace&#44; Muslims are wronged and tortured to their limits &#44; but the United Nations only condemn Hammas attacks. For how long will they continue to have this two faced policies,931,Why are the Muslims tortured that much&#44; if the American people stop favouring Jews then as God said that they would live worst lives&#44; so Americans&#44; u stop favouring them and then see their fate,988,There seems to be two opinions that it is not a very brutal action.,989,But the question is&#44; on Monday when thousands of Taliban villages were attacklled by samiuah&#44; and the Pakistani army and was where with them?,990,The army to should not be accountability that a year&#44; he said there?,991,Thousands are killed every day&#44; the number of the mortar shells and battery&#44; the number is very uneasy for Taliban .,992,The ISI&#44; I appeal to the Taliban that only thing and we will give tutelage heaven Benazir Swat to the peace.,993,And the fake operation.,1055,After Mumbai attacks India said that few extremist groups are involved in these attacks.
10551056,Pakistan denied these blames and said that she will fully cooperate in the investigation.,1057,India said that she has provided Pakistan a list of 20 extremists&#44; who are wanted to India.,1058,Noe Pakistan said that leader of Jaish e Muhammad Maulana Masud Azhar present in this list is not detained and Government of Pakistan has no information about him.,1059,Before this President Asif Ali Zardari has denied the impression that Western Secret Agencies and Indian Government have provided Pakistan the proves of Mumbai attacks.,1060,President Zardari said about Ajmal Qasab that it is not yet proven that he is Pakistani.,1061,During this Prime Minister Manmohan Singh warned Pakistan that Indian relation with her can&#39;t get better till the time her soil is used for terrorism.,1062,And in recent updates Indian Cricket team has canceled its tour of Pakistan.,1063,Should these political incidents affect sports?,1064,How do you see the future of Pakistan and India relations?,1079,May God our country Pakistan always be safed&#44; ameen.
10791080,But&#44;please open your eyes to look at the situation and ground realities around you then you will come to know that where American troops have reached .,1081,Besides the country matters do not seems better.The circumstances in NWFP&#44; Baluchistan&#44;and the situation of Karachi in Sindh&#44; are also in front of you .,1082,In this situation the country needs that leader who can make us a united nation.,1083,May God mercy upon us.,1353,Third to ordinary citizens in this shelters believes that the practice &#44; the government &#44; in this area should be heard .,1354,during the process of the security forces in Swat about gunship helicopters and tanks missions of claims killing of many extremists in the bombardment of Taliban in spite of know &#44; but these killings have taken not only more stable &#44; but his government was set up 80 percent &#44; according to Swat an estimate .,1355,The result that a government not ready to acknowledge his failure to stability and on the other hand Taliban .,1356,پسا who &#44; brotherhood between citizens .,1357,Suwat said that in response to any asked how people &#44; the Taliban got very good because they are custodian of Islam and fighting against the &#39; and &#39; enemies of Islam .,1358,When asked that the army is what got an answer that are very good because they &#44; the protection against the enemies of the country and لڑتی .
13581359,And then was asked that the enemies of the country who got response &#44; we have citizens .,1377,Resolution about Iraq passed in a few hours&#44; sending UN peace force to Darfur is not a problem.,1378,Immediate condemning Mumbai battacks and restricting suspected groups can be done in few hours.,1379,And we are negotiating while death is revolving at our heads.,1380,O&#39; world peace claimers!Life is ending here.,1381,If that really awaited for it&#39;s ending.,1382,So that no more victim can even imagine to use a weapon of mass destruction like catapult to have his due rights.,1383,When a father keeps running taking the dead body of his beloved son&#44;even then you don&#39;t feel any pain in your heart?,1384,If no&#44;then you are no one to be called a human being.,1385,Instead a blot on the humanity.
13851531,Assalamwalekum Rehmate Barkatahu,1532,Tonight after Ishan&#39;s namaz i was heading towards the shop on the way a person attracted my attention towards him.,1533,I thought this person has lost his way or wanted to ask something to me i stopped i saw his whole family along him.,1534,He narrated his topic i fluently understand Arabic i told no problem tell me your problem?,1535,He started narrating i came from Riyadh here in someone has pick pocketed me you kindly help me out i told i am sorry brother&#44; because this kind of situation is also faced by me before i gave him 20 Rial and guided him to fill petrol and head back to Riyadh but he after moving a certain distance started the same business,1536,I got very angry and said him a lot and thretened him of cops so he left the place immediately,1537,Si this has been the situation of Muslims now for begging too we use vehicles and come with our families and through out the day cheat three thousand from people,1538,Where as in Hadis(saleallah huwa salam) preaches instead of down peoples upper peoples are greater god gives them.,1539,Allah should show mercy on us a true Muslim( Ameen Suma Ameen),1540,WalekumSalam
15401541,Javed Iqbal,1568,The three one - day matches between Pakistan and Sri لنكاكے series in Sri Lanka has defeated Pakistan by 2 - 1 .,1569,In one - day match before facing defeat to Sri Lanka &#44; however &#44; Pakistan has won the next two میچزمیں Sri Lanka .,1570,The national cricket team in the third one - day match is very poor performance &#44; Sri Lanka &#39;s national team only in response to 309 runs ڈھیرہوگئی on 75 runs in 23 overs &#44; and thus it faced a lesson nose of the defeat .,1571,This proves that the result of the series is not consistent in the performance of the national cricket team .,1572,Despite home ground &#44; and all the دعووں was hit by national team defeated &#44; in your opinion &#44; what are reasons of this ?,1573,Authorities كوكھیل of what is necessary to pay more attention on sectors ?,1574,Are you satisfied with the selection of the team ?,1575,The defeat YOU HOW responsibility will lie on the Sector &#44; fielding &#44; batting or bowling ?,1576,aware of his opinion .
15761633,U.S. President George W. Bush in his farewell press conference advised the newly elected President Barak Obama by saying that he has done many mistakes in his presidency and if Barak Obama finds something right&#44;just do it.,1634,As the President I have taken steps according to the situation and the Constitution and under the law&#44; given priority to the American interests on my popularity.,1635,He said that the US enemy is still planning to attack the America &#44; and the biggest challenge for Barak Obama would have been to stop the attacks.,1636,He said that not to get the Mass destruction weapons&#44; was my largest disappointment and the biggest mistake was to admit the completion of the Iraq mission.,1637,While addressing the American Pesident in the White House in his last press conference has said that it is my last press conference I thank to journalists and other friends who attended this Conference .,1638,Do you think that Obama will not repeat those mistakes which were done by Bush?,1639,Has it been delayed by Bush to acknowledge the mistake?,1640,Shall Obama follow the advice of Bush conciliatory?,1641,Give us your opinion.,,
